0	okay, then, I will gonna leave now.	21337
1	I will go through the hall	22288
2	I will go through the hall	9858
3	I am not gonna invite you	21962
4	It's time to go out.	30139
5	Well, I'm gonna leave here right now	21337
6	see, i was right	22392
7	i will leave now	4472
8	Well, shall I leave now?	12186
9	Give me a minute	12186
10	Let me go out	37080
11	I won't select him	26909
12	It wasn't that fun than I thought	6365
13	I'll wait for you	19506
14	I thought that joke can be funny. But it's not.	20901
15	It isn't funny at all.	6365
16	You know, I will go lay down.	20430
17	I will go to our room and wait you.	18473
18	I will not get along with him.	26909
19	Look, I won't do this.	17050
20	I'm too shy to do this with you	36365
21	Look, I'm nervous to do this	26086
22	I'm disappointed to what it was not fun	6365
23	you should not leave here with them	30300
24	Look, I'm not used to this.	36365
25	It is the one which I was talking	19602
26	This is the one I talked	35631
27	I thought it was about having fun.	6365
28	It was supposed to be a joke.	20901
29	No, you can't stop me taking him with me.	10644
30	Look, this isn't going to work out.	19158
31	I changed my mind.	1488
32	Actually, that wasn't true.	29033
33	He probably thought nothing of it.	24598
34	I think I should leave now.	4472
35	I am gonna going to the airport.	28409
36	you must not do this	19158
37	I should leave here for a little while.	33062
38	I was passing the hall.	22288
39	Well, should I have to go?	12186
40	I will not call you anymore.	21962
41	No, you can't take him away.	30300
42	Look, you don't have to do this.	19158
43	Don't leave me long	661
44	I don't want to deal with you anymore	37080
45	I don't care whether he is a millionaire or not.	26909
46	I'll not going to hurt you	19506
47	I won't talk with you anymore	21962
48	I'm just want to go.	37080
49	See you in a minute in our room.	18473
50	So, enjoy your time while I'm gonna go to the bathroom.	33062
51	I'm just fine with you.	37080
52	I don't like him.	26909
53	I have nothing to do with you.	21962
54	Believe me, it's totally true, if you don't want to trust.	18439
55	Listen, I can't do this now.	17050
56	I'll make you stay in my room	2584
57	I'll wait you in the other room	18473
58	I'm upset, I'll go to the bathroom	33062
59	I don't like his style	26909
60	It was okay not to do that	23187
61	you will see my room	2584
62	It's not suitable	36698
63	Oh, Janice, your right	6740
64	yes, you are with me	22392
65	that's the one that I'm talking about	19602
66	That's the thing that I'm talking about	35631
67	i want to be with you	9858
68	Oh, you did it	1004
69	Oh, where is him?	7869
70	You will make trouble bigger	19158
71	Oh... Where is he? This is not good..	7869
72	Uhh! Why this thing doesn't work!	36698
73	You know what? I am really uncomfortable now.	3278
74	Come on, it would be a hard time without you guys.	30300
75	Oh, man, just do it!	947
76	This one is one of the thing that I'm talking about!	19602
77	Well, that's the reason why I came here to talk to you.	15249
78	Look at these, you know what?	35631
79	I didn't really think you acted like that.	6365
80	Honey, I didn't need this much!	29156
81	I thought you liked it	6365
82	Don't you understand my words?	22392
83	I don't like it much	27572
84	Oh, it is old one	36698
85	have sex with him	947
86	This is what I wanted	22392
87	This also shows what I said	19602
88	You would be good on it	22718
89	You don't have to do it	5978
90	I'll pop in to the bathroom	28633
91	Do it , bro!	947
92	Oh, this is the answer.	19602
93	Sorry, but this is exactly what I wanted to talk.	15249
94	I said it, too!	22392
95	Oh, my God. It's broken	36698
96	All right, Janice, that is what i want!	6740
97	Oh, this is what I find	1004
98	I'm okay, say truth please.	5978
99	I'm so embarasssed that you did that	20918
100	You really love him	23234
101	Please don't do that.	23187
102	i want to g o to he bathroom	28633
103	So how was your girl friend introduced ?	37715
104	Why are you giving this to me?	27572
105	Monica, I can't do this if you don't want to change your mind.	17050
106	Why did you do that?	9835
107	Why did you do that?	20918
108	I know, I expected that it makes others funny	29934
109	why did he cheat ?	23211
110	why did you say that ?	39849
111	I thought it would make everyone funny	20901
112	I don't know exactly	40360
113	can you act like that ?	20918
114	I did not know that I would be between you and me	23234
115	Hey, Rach, we have other ways to solve this	26086
116	Okay, let's stop here.	36365
117	I gotta go up early.	2070
118	So how did it go?	11692
119	It's surprising that you two kissed.	23234
120	Oh, no, where is my hat?	2221
121	No, I really want to get along with him just like now.	10644
122	Sorry, I never do this.	36365
123	This cookies are amazing.	19602
124	Oh here it is	1004
125	Hey guys, don't do that.	19158
126	well, that was not you must to do	29156
127	No, you are not allowed to leave me without him.	10644
128	You are not suitable to go inside	30529
129	Please don't leavd me alone	30304
130	So how is going on your date?	37715
131	And did you have good time with Tom?	20782
132	I can't believe it, sorry	9835
133	how are you today?	37715
134	I can't expect you did this..	27572
135	I'm happy to hear that he did this.	23211
136	How can he say like that?	39849
137	Wow, just a seconds	26640
138	He is funny, and anyway	10410
139	you shouldn't do this	13459
140	And how are you doing?	20782
141	You really wrote this?	23234
142	I'm going back to our room.	18473
143	There is error on the clip	40655
144	He is funny. Hey, it's not over yet.	10410
145	Let's talk about with other topic, what did you do today?	2070
146	What happened last night?	20782
147	So how are you?	2070
148	Did he have those sense?	23211
149	I can't even say how surprised by his gift!	39849
150	Finally, just do it!	947
151	There is no need to do this for you.	39277
152	there is something wrong with video clip	40655
153	Umm... I'm so embarrassed	1544
154	we should not do that	26086
155	I'm right across the hall.	9858
156	To tell the truth...	20220
157	How do you think doing that?	23234
158	wait for a second	23826
159	Wait, wait, wait, isn't it okay?	1544
160	Stop, give him more time	16808
161	Yes it is, it's old!	36698
162	See, we are in perfect harmony.	22392
163	See, this is the perfect evidence.	19602
164	See, this is what I want you to tell	22392
165	you need not do that	23187
166	Janice, it's okay! You're alright	6740
167	Please don't leave me	661
168	I need to go	18473
169	Please give me back	37080
170	I'll not invite you	21962
171	I'm gonna to toilet	7499
172	I'll go to the hall	22288
173	I'll go the hall	9858
174	My helicopter is waiting	28409
175	I will be here	18473
176	Okay, so listen, keep him for a sec.	21337
177	Oh, my God, it's antique	36698
178	Maybe I can go to the bathroom.	7499
179	I don't think it's right.	21962
180	Okay, I'm gonna take off.	21337
181	I don't hit you.	37080
182	I'll be close to you.	22288
183	I'll be in you neighbor.	9858
184	Oh! It is too old to open.	36698
185	All right, Janice, that is all.	6740
186	You exactly can do that.	22718
187	You can't sacrifice for me.	723
188	Look, Rach, I don't want to do this.	26086
189	I will go airport	28409
190	Wanna sleep in my room tonight?	2584
191	I can't believe that.	9835
192	I'll be here soon.	7499
193	(I did not understand)	9858
194	I don't wanna call you	21962
195	I'll take some time.	9858
196	No, I wouldn't do what you asked me to do	10644
197	Honey, say no to her.	13459
198	it cannot be opened!	36698
199	you are intend to do this	1004
200	If you listen to this class, ti'll be fun	6365
201	He's going to mention it for a long time	24598
202	This is what we do well	29934
203	It does not matter	9858
204	I do not care anymore	37080
205	Frankly, I'll tell you why	18439
206	Look, I need to go	21337
207	No! we have work to do with them!	30300
208	Oh, don't tell a like	30529
209	so, so I'm gonna, I'm gonna leave now.	4472
210	I am going to be in our room	18473
211	I will be in bathroom	7499
212	I will go to the bathroom.	33062
213	I will not go with him	26909
214	I'll go to the bathroom.	28633
215	you don't need to do that	23187
216	was your date good?	37715
217	i t's surprising that you did this	27572
218	Okay, well, I'm leaving now.	12186
219	I thought we could enjoy this	6365
220	No, you should not leave me here alone with three kids.	30300
221	Nonsense. You can't go inside there.	30529
222	He may think that it was funny.	24598
223	You said it would be fun.	3278
224	Okay, then I should go now.	12186
225	guys, you shouldn't do this	19158
226	I will go to the bathroom right now.	28633
227	I will bring you to my room.	2584
228	I will be other side of the hall.	22288
229	I will not hit you.	37080
230	I will not yell at you.	19506
231	I will not lie to you. Trust me.	20220
232	Don't leave me here with them.	30300
233	Don't take him away from me.	10644
234	You don't have to stay here just for me.	723
235	Honey, if you don't want, don't do this.	13459
236	I feel weird to do this	1488
237	No, don't take him away from me.	10644
238	I don't think you can fit in there.	30529
239	guys, you should not do that	19158
240	Honey, you don't need to do this.	13459
241	You know, I can't do this.	29033
242	No, don't leave me here with them.	30300
243	You don't have to do this.	13459
244	I thought it would be fun.	29934
245	Let me show you the room.	2584
246	No, you should stay here with me	30300
247	I don't want to yell at you.	19506
248	Well, excuse me, I'm gonna take some rest	21337
249	I'm telling the truth.	20220
250	I am telling you the truth	20220
251	I am not angry at you.	19506
252	Listen to me, guys. You should not do this.	19158
253	I won't call you	21962
254	I won't tell a lie to you	20220
255	Look, you shouldn't do this.	19158
256	Okay, so I'm gonna take a nap.	21337
257	i will go to bathroom	28633
258	i will go to the airport	28409
259	That's what I wanted to say	15249
260	That's what I wanted...	24667
261	I'm okay, Don't mind about it.	23187
262	Please don't leave me alone with babies.	30300
263	Oh, my Godness, it's not working.	36698
264	This is exactly what I want to talk.	19602
265	You have to do that.	22718
266	You don't need to say that.	5978
267	Did you have a good date with her?	37715
268	So did you have a great time on your trip?	19229
269	So did you have a good day?	2070
270	So did you make a good date?	20782
271	Did you have a good time with Ginger?	32076
272	Did you have a good time?	11692
273	I'm so sorry that I did that	9835
274	I'm surprised that he did this	39849
275	Oh no, he already left	7869
276	Wow I haven't thought that you would give this gift	27572
277	I'll stay in our room	18473
278	I'll not yell at you.	19506
279	That's what I want!	24667
280	Oh, my God. He's not here!	7869
281	This is what I want to say	22392
282	No, you should be here to take care of them.	30300
283	No, no, no, you can not separate us.	10644
284	You can't stay here just because of me.	723
285	Was your trip good?	19229
286	Hey guys, you shouldn't do this	19158
287	You know, it's too weird.	1488
288	So tell me about your trip.	19229
289	And how did the date go?	20782
290	Hold on a sec	26640
291	You said it would be fun, but it isn't!	3278
292	He might think it was funny.	24598
293	So, how was your date?	20782
294	You can not be here for me.	723
295	No, you can not get in there.	30529
296	Honey, you do not need to do this.	13459
297	Look, Rach, we don't need to do this.	26086
298	Anyway, how have you been today?	2070
299	So was your date good?	20782
300	How silly was I.	9835
301	Did I just hear you right?	23498
302	It's surprising you did that	23234
303	Did you enjoy your date?	37715
304	Did you enjoy your trip?	19229
305	So how was your date with her? great?	32076
306	I can't believe it!	39849
307	He is funny, Now wait, stop	10410
308	So was your date gone well?	11692
309	Wow, thank you so much	27572
310	It' surprising that you did this	27572
311	Oh, I'm so sorry for what I've done.	9835
312	Okay, I'm going to lie down for a bit.	21337
313	I'm going to the bathroom.	28633
314	I'm going to the bathroom.	33062
315	I'll be off to the airport.	28409
316	I don't know how to thank you about this.	20918
317	Let me show you my room.	2584
318	I can't believe what I did.	9835
319	I can't believe you did that.	23498
320	I can't believe he did this for me.	23211
321	It's disappointing that you told people about this.	40360
322	I can't believe you did this.	20918
323	I can't believe you did this.	23234
324	I'm not going to hit you.	37080
325	I'll introduce my room to you.	2584
326	I'll wait you in the bathroom.	7499
327	Listen to me, guys.	23826
328	Wait, let's give him some time.	16808
329	Wait a minute. Please listen to me.	1544
330	It is too old! It doesn't work!	36698
331	You know, this is what I meant.	22392
332	Oh, you finally understand what I'm saying	22392
333	I don't care about it	23187
334	I can't believe it. It's amazing!	27572
335	I don't agree. Wait a second.	10410
336	I don't want to hit you.	37080
337	It can't believe what he did	23211
338	Wow I am surprised	27572
339	I'm really okay, don't worry about it.	23187
340	Hold on, hold on	23826
341	Oh, no! He's disappeared	7869
